,HR,T,CO2,Ti_f,HR_f,CO2_f
2025-02-11 09:45:00,40.2954,27.7665,541.7739,27.4,40.7,577.0
2025-02-11 09:46:00,39.36,27.8946,515.8001,27.5,40.8,554.0
2025-02-11 09:47:00,39.6988,27.9801,505.9577,27.6,41.7,558.0
2025-02-11 09:48:00,40.1077,28.0655,520.8003,27.5,41.5,585.0
2025-02-11 09:49:00,38.7802,28.1643,532.6387,27.5,39.6,565.0
2025-02-11 09:50:00,39.241,28.2071,518.0048,27.4,40.7,521.0
2025-02-11 09:51:00,39.1495,28.2631,522.8117,27.2,41.0,539.0
2025-02-11 09:52:00,38.9908,28.3192,520.3548,27.3,40.9,532.0
2025-02-11 09:53:00,38.9542,28.3619,516.0402,27.2,40.9,525.0
2025-02-11 09:54:00,38.7924,28.4047,516.6716,27.1,40.9,505.0
2025-02-11 09:55:00,38.3408,28.4447,510.5714,27.0,40.7,506.0
2025-02-11 09:56:00,38.0417,28.4874,504.4051,27.2,40.0,494.0
2025-02-11 09:57:00,37.8143,28.5435,496.5881,27.3,39.9,514.0
2025-02-11 09:58:00,37.7762,28.5729,494.0001,27.3,39.8,496.0
2025-02-11 09:59:00,37.3825,28.6183,493.845,27.5,39.3,493.0
2025-02-11 10:00:00,36.6501,28.6316,485.9774,27.7,39.0,479.0
2025-02-11 10:01:00,36.7355,28.6583,470.6137,27.8,39.0,471.0
2025-02-11 10:02:00,36.9461,28.6744,465.7607,27.8,38.9,482.0
2025-02-11 10:03:00,37.3642,28.7304,466.0933,27.9,38.9,487.0
2025-02-11 10:04:00,37.2269,28.7438,471.2475,27.9,38.8,490.0
2025-02-11 10:05:00,37.0392,28.7865,475.7587,27.9,38.7,476.0
2025-02-11 10:06:00,37.0667,28.7999,471.8784,27.9,38.8,487.0
2025-02-11 10:07:00,36.795,28.8293,472.6837,28.0,38.8,500.0
2025-02-11 10:08:00,37.0605,28.8693,480.3011,28.1,38.9,497.0
2025-02-11 10:09:00,36.3602,28.8853,484.8599,28.1,38.6,490.0
2025-02-11 10:10:00,36.9095,28.8693,486.1598,28.1,38.5,495.0
2025-02-11 10:11:00,36.4471,28.9414,488.6838,28.2,38.6,502.0
2025-02-11 10:12:00,36.7783,28.9414,488.5573,28.2,38.7,497.0
2025-02-11 10:13:00,36.7508,28.9414,493.8045,28.1,38.8,499.0
