Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,27.4 °C,17.6 °C,12.8 °C,40.7 %,1 ppm,577 ppm,,,,11/02/2025 09:45:05 a. m.
2,,27.5 °C,17.8 °C,13.0 °C,40.8 %,1 ppm,554 ppm,,,,11/02/2025 09:46:05 a. m.
3,,27.6 °C,18.0 °C,13.4 °C,41.7 %,1 ppm,558 ppm,,,,11/02/2025 09:47:05 a. m.
4,,27.5 °C,17.9 °C,13.2 °C,41.5 %,1 ppm,585 ppm,,,,11/02/2025 09:48:05 a. m.
5,,27.5 °C,17.5 °C,12.5 °C,39.6 %,0 ppm,565 ppm,,,,11/02/2025 09:49:05 a. m.
6,,27.4 °C,17.6 °C,12.8 °C,40.7 %,1 ppm,521 ppm,,,,11/02/2025 09:50:05 a. m.
7,,27.2 °C,17.5 °C,12.7 °C,41.0 %,1 ppm,539 ppm,,,,11/02/2025 09:51:05 a. m.
8,,27.3 °C,17.6 °C,12.8 °C,40.9 %,1 ppm,532 ppm,,,,11/02/2025 09:52:05 a. m.
9,,27.2 °C,17.5 °C,12.7 °C,40.9 %,1 ppm,525 ppm,,,,11/02/2025 09:53:05 a. m.
10,,27.1 °C,17.4 °C,12.6 °C,40.9 %,1 ppm,505 ppm,,,,11/02/2025 09:54:05 a. m.
11,,27.0 °C,17.3 °C,12.4 °C,40.7 %,1 ppm,506 ppm,,,,11/02/2025 09:55:05 a. m.
12,,27.2 °C,17.4 °C,12.4 °C,40.0 %,1 ppm,494 ppm,,,,11/02/2025 09:56:05 a. m.
13,,27.3 °C,17.4 °C,12.4 °C,39.9 %,1 ppm,514 ppm,,,,11/02/2025 09:57:05 a. m.
14,,27.3 °C,17.3 °C,12.3 °C,39.8 %,1 ppm,496 ppm,,,,11/02/2025 09:58:05 a. m.
15,,27.5 °C,17.5 °C,12.4 °C,39.3 %,1 ppm,493 ppm,,,,11/02/2025 09:59:05 a. m.
16,,27.7 °C,17.5 °C,12.4 °C,39.0 %,0 ppm,479 ppm,,,,11/02/2025 10:00:05 a. m.
17,,27.8 °C,17.6 °C,12.5 °C,39.0 %,0 ppm,471 ppm,,,,11/02/2025 10:01:05 a. m.
18,,27.8 °C,17.6 °C,12.5 °C,38.9 %,1 ppm,482 ppm,,,,11/02/2025 10:02:05 a. m.
19,,27.9 °C,17.7 °C,12.6 °C,38.9 %,0 ppm,487 ppm,,,,11/02/2025 10:03:05 a. m.
20,,27.9 °C,17.6 °C,12.5 °C,38.8 %,0 ppm,490 ppm,,,,11/02/2025 10:04:05 a. m.
21,,27.9 °C,17.6 °C,12.5 °C,38.7 %,1 ppm,476 ppm,,,,11/02/2025 10:05:05 a. m.
22,,27.9 °C,17.6 °C,12.5 °C,38.8 %,1 ppm,487 ppm,,,,11/02/2025 10:06:05 a. m.
23,,28.0 °C,17.7 °C,12.6 °C,38.8 %,0 ppm,500 ppm,,,,11/02/2025 10:07:05 a. m.
24,,28.1 °C,17.8 °C,12.7 °C,38.9 %,1 ppm,497 ppm,,,,11/02/2025 10:08:05 a. m.
25,,28.1 °C,17.7 °C,12.6 °C,38.6 %,0 ppm,490 ppm,,,,11/02/2025 10:09:05 a. m.
26,,28.1 °C,17.7 °C,12.6 °C,38.5 %,1 ppm,495 ppm,,,,11/02/2025 10:10:05 a. m.
27,,28.2 °C,17.8 °C,12.7 °C,38.6 %,0 ppm,502 ppm,,,,11/02/2025 10:11:05 a. m.
28,,28.2 °C,17.9 °C,12.8 °C,38.7 %,0 ppm,497 ppm,,,,11/02/2025 10:12:05 a. m.
29,,28.1 °C,17.8 °C,12.7 °C,38.8 %,1 ppm,499 ppm,,,,11/02/2025 10:13:05 a. m.
