ts,rtd,ratio,resistance,temp
2025-02-11 10:45,8394,0.2562,1101.5075,26.0728
2025-02-11 10:46,8394,0.2562,1101.5075,26.0728
2025-02-11 10:47,8394,0.2562,1101.5075,26.0728
2025-02-11 10:48,8394,0.2562,1101.5075,26.0728
2025-02-11 10:49,8394,0.2562,1101.5075,26.1067
2025-02-11 10:50,8394,0.2562,1101.5075,26.0728
2025-02-11 10:51,8394,0.2562,1101.5075,26.1067
2025-02-11 10:52,8394,0.2562,1101.5075,26.0728
2025-02-11 10:53,8394,0.2562,1101.5075,26.1067
2025-02-11 10:54,8395,0.2562,1101.6387,26.0728
2025-02-11 10:55,8395,0.2562,1101.6387,26.1067
2025-02-11 10:56,8394,0.2562,1101.5075,26.0728
2025-02-11 10:57,8394,0.2562,1101.5075,26.0728
2025-02-11 10:58,8394,0.2562,1101.5075,26.0728
2025-02-11 10:59,8394,0.2562,1101.5075,26.1067
2025-02-11 11:00,8394,0.2562,1101.5075,26.1067
2025-02-11 11:01,8395,0.2562,1101.6387,26.0728
2025-02-11 11:02,8395,0.2562,1101.6387,26.0728
2025-02-11 11:03,8395,0.2562,1101.6387,26.1067
2025-02-11 11:04,8395,0.2562,1101.6387,26.1067
2025-02-11 11:05,8394,0.2562,1101.5075,26.0728
2025-02-11 11:06,8394,0.2562,1101.5075,26.1067
2025-02-11 11:07,8394,0.2562,1101.5075,26.0728
2025-02-11 11:08,8394,0.2562,1101.5075,26.1067
2025-02-11 11:09,8394,0.2562,1101.5075,26.0728
2025-02-11 11:10,8394,0.2562,1101.5075,26.0728
2025-02-11 11:11,8395,0.2562,1101.6387,26.1067
2025-02-11 11:12,8394,0.2562,1101.5075,26.0728
2025-02-11 11:13,8395,0.2562,1101.6387,26.0728
2025-02-11 11:14,8395,0.2562,1101.6387,26.1067
2025-02-11 11:15,8394,0.2562,1101.5075,26.0728
2025-02-11 11:16,8395,0.2562,1101.6387,26.1067
2025-02-11 11:17,8394,0.2562,1101.5075,26.0728
