QUEST TECHNOLOGIES                   Pagina 1
REPORTE STRESS TERMICO

Nombre Archivo_________________________   Questemp 36  Rev 1.05
Serial # TKJ090005
Operador      _________________________

Instalacion   _________________________   Sesion  (1)
Inicio: 11-FEB-25  10:44:59
Departamento  _________________________   Final:  12-FEB-25  09:46:51

Puesto        _________________________   Impreso: 12-FEB-25  14:02:35

Comentarios   __________________________________________________________

________________________________________________________________________

________________________________________________________________________

Intervalo:  1 minutos
Grados Celsius


NIVELES MAXIMOS, Sensor 1
TGBH INT      27.4    11-FEB-25  17:31:09
TGBH EXT      27.4    11-FEB-25  17:46:11
BULBO HUMEDO  27.4    11-FEB-25  17:46:11
BULBO SECO    27.3    11-FEB-25  17:04:39
GLOBO         27.5    11-FEB-25  16:49:32
IND. TERMICO    27    11-FEB-25  20:04:36
HUMEDAD REL    50%    12-FEB-25  09:45:45
FLUJO (m/s)    0.5    12-FEB-25  07:54:23

Sesion : 1                                                     Pagina 2
Sensor: 1
Grados Celsius
Prog de Tiempos: NINGUNO

HORA  TGBHi TGBHe  BH    BS   GLOBO  HR  IC FLUJO
----- ----- ----- ----- ----- ----- --- --- -----
10:45  26.0  26.0  26.0  25.9  26.2  45  26   0.4
10:46  26.0  26.0  26.0  25.9  26.3  44  26   0.4
10:47  26.0  26.0  26.0  25.9  26.2  44  26   0.4
10:48  26.0  26.0  26.0  25.9  26.2  44  26   0.4
10:49  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:50  26.0  26.0  26.0  25.9  26.2  44  26   0.4
10:51  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:52  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:53  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:54  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:55  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:56  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:57  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:58  26.0  26.0  26.0  26.0  26.2  44  26   0.4
10:59  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:00  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:01  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:02  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:03  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:04  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:05  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:06  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:07  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:08  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:09  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:10  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:11  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:12  26.0  26.0  26.0  26.0  26.2  44  26   0.4
11:13  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:14  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:15  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:16  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:17  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:18  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:19  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:20  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:21  26.0  26.0  26.0  26.0  26.2  43  26   0.4
11:22  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:23  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:24  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:25  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:26  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:27  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:28  26.1  26.1  26.1  26.0  26.2  43  26   0.4
11:29  26.1  26.1  26.1  26.0  26.2  44  26   0.4
11:30  26.1  26.1  26.1  26.0  26.3  44  26   0.4
11:31  26.1  26.1  26.1  26.1  26.2  44  26   0.4
11:32  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:33  26.2  26.1  26.2  26.1  26.2  44  26   0.4
11:34  26.2  26.2  26.2  26.1  26.3  44  26   0.4
Sesion : 1                                                     Pagina 3
Sensor: 1
Grados Celsius
Prog de Tiempos: NINGUNO

HORA  TGBHi TGBHe  BH    BS   GLOBO  HR  IC FLUJO
----- ----- ----- ----- ----- ----- --- --- -----
11:35  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:36  26.2  26.1  26.2  26.1  26.2  44  26   0.4
11:37  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:38  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:39  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:40  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:41  26.2  26.2  26.2  26.1  26.3  44  26   0.4
11:42  26.3  26.2  26.3  26.1  26.3  44  26   0.4
11:43  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:44  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:45  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:46  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:47  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:48  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:49  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:50  26.2  26.2  26.2  26.2  26.3  44  26   0.4
11:51  26.2  26.2  26.2  26.2  26.3  44  26   0.4
11:52  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:53  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:54  26.2  26.2  26.2  26.2  26.3  44  26   0.4
11:55  26.3  26.2  26.3  26.2  26.3  44  26   0.4
11:56  26.2  26.2  26.2  26.2  26.3  44  26   0.4
11:57  26.2  26.2  26.2  26.2  26.3  44  26   0.4
11:58  26.3  26.3  26.3  26.2  26.4  44  26   0.4
11:59  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:00  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:01  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:02  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:03  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:04  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:05  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:06  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:07  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:08  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:09  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:10  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:11  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:12  26.2  26.2  26.2  26.2  26.3  44  26   0.4
12:13  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:14  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:15  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:16  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:17  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:18  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:19  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:20  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:21  26.3  26.3  26.3  26.2  26.4  44  26   0.4
12:22  26.3  26.3  26.3  26.2  26.4  44  26   0.4
12:23  26.3  26.2  26.3  26.2  26.3  44  26   0.4
12:24  26.3  26.3  26.3  26.2  26.4  44  26   0.4
Sesion : 1                                                     Pagina 4
Sensor: 1
Grados Celsius
Prog de Tiempos: NINGUNO

HORA  TGBHi TGBHe  BH    BS   GLOBO  HR  IC FLUJO
----- ----- ----- ----- ----- ----- --- --- -----
12:25  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:26  26.3  26.3  26.3  26.2  26.4  44  26   0.4
12:27  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:28  26.3  26.3  26.3  26.2  26.4  44  26   0.4
12:29  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:30  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:31  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:32  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:33  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:34  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:35  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:36  26.3  26.3  26.3  26.3  26.4  44  26   0.4
12:37  26.4  26.3  26.4  26.3  26.4  44  26   0.4
12:38  26.4  26.3  26.4  26.3  26.4  44  26   0.4
12:39  26.4  26.3  26.4  26.3  26.4  44  26   0.4
12:40  26.4  26.3  26.4  26.3  26.4  44  26   0.4
12:41  26.4  26.3  26.4  26.3  26.4  44  26   0.4
12:42  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:43  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:44  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:45  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:46  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:47  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:48  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:49  26.4  26.4  26.4  26.3  26.5  44  26   0.4
12:50  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:51  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:52  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:53  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:54  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:55  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:56  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:57  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:58  26.4  26.4  26.4  26.4  26.5  44  26   0.4
12:59  26.4  26.4  26.4  26.4  26.5  44  26   0.4
13:00  26.4  26.4  26.4  26.4  26.5  44  26   0.4
13:01  26.4  26.4  26.4  26.4  26.5  44  26   0.4
13:02  26.4  26.4  26.4  26.4  26.5  44  26   0.4
13:03  26.4  26.4  26.4  26.4  26.5  44  27   0.4
13:04  26.4  26.4  26.4  26.4  26.6  44  27   0.4
13:05  26.4  26.4  26.4  26.4  26.6  44  26   0.4
13:06  26.4  26.4  26.4  26.4  26.6  44  27   0.4
13:07  26.4  26.4  26.4  26.4  26.6  44  27   0.4
13:08  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:09  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:10  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:11  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:12  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:13  26.5  26.5  26.5  26.4  26.6  44  27   0.4
13:14  26.5  26.5  26.5  26.4  26.6  44  27   0.4
