timestamp,CO2,T,HR
2025-02-11 09:45:10,541.7739,27.7665,40.2954
2025-02-11 09:46:10,515.8001,27.8946,39.36
2025-02-11 09:47:10,505.9577,27.9801,39.6988
2025-02-11 09:48:10,520.8003,28.0655,40.1077
2025-02-11 09:49:10,532.6387,28.1643,38.7802
2025-02-11 09:50:10,518.0048,28.2071,39.241
2025-02-11 09:51:10,522.8117,28.2631,39.1495
2025-02-11 09:52:10,520.3548,28.3192,38.9908
2025-02-11 09:53:10,516.0402,28.3619,38.9542
2025-02-11 09:54:10,516.6716,28.4047,38.7924
2025-02-11 09:55:10,510.5714,28.4447,38.3408
2025-02-11 09:56:10,504.4051,28.4874,38.0417
2025-02-11 09:57:10,496.5881,28.5435,37.8143
2025-02-11 09:58:10,494.0001,28.5729,37.7762
2025-02-11 09:59:10,493.845,28.6183,37.3825
2025-02-11 10:00:10,485.9774,28.6316,36.6501
2025-02-11 10:01:10,470.6137,28.6583,36.7355
2025-02-11 10:02:10,465.7607,28.6744,36.9461
2025-02-11 10:03:10,466.0933,28.7304,37.3642
2025-02-11 10:04:10,471.2475,28.7438,37.2269
2025-02-11 10:05:10,475.7587,28.7865,37.0392
2025-02-11 10:06:10,471.8784,28.7999,37.0667
2025-02-11 10:07:10,472.6837,28.8293,36.795
2025-02-11 10:08:10,480.3011,28.8693,37.0605
2025-02-11 10:09:10,484.8599,28.8853,36.3602
2025-02-11 10:10:10,486.1598,28.8693,36.9095
2025-02-11 10:11:10,488.6838,28.9414,36.4471
2025-02-11 10:12:10,488.5573,28.9414,36.7783
2025-02-11 10:13:10,493.8045,28.9414,36.7508
2025-02-11 10:14:10,505.2321,28.9548,36.7401
2025-02-11 10:15:10,505.1252,28.9841,35.9818
2025-02-11 10:16:10,493.3555,28.9681,36.4517
2025-02-11 10:17:10,490.1407,28.9975,36.5631
2025-02-11 10:18:10,488.2351,29.0108,36.3297
2025-02-11 10:19:10,491.5557,29.0242,36.0687
2025-02-11 10:20:10,487.1628,29.0402,36.4578
2025-02-11 10:21:10,487.3896,29.0402,36.5112
2025-02-11 10:22:10,487.0459,29.0402,35.9894
2025-02-11 10:23:10,499.3582,29.0402,36.5952
2025-02-11 10:24:10,516.6912,29.0536,36.8454
2025-02-11 10:25:10,521.364,29.0536,36.6669
2025-02-11 10:26:10,524.4346,29.1096,35.9528
2025-02-11 10:27:10,525.946,29.139,35.9711
2025-02-11 10:28:10,523.4913,29.1524,36.0535
2025-02-11 10:29:10,531.7323,29.2111,36.557
2025-02-11 10:30:10,547.4039,29.1951,36.5128
2025-02-11 10:31:10,553.4309,29.2245,36.0733
2025-02-11 10:32:11,554.0778,29.2111,36.1969
2025-02-11 10:33:11,549.7867,29.2245,36.3373
