ts,voltage,temp
2025-02-05 09:10:00,1.3379,25.81
2025-02-05 09:10:01,1.3379,27.06
2025-02-05 09:10:02,1.3086,25.56
2025-02-05 09:10:03,1.2842,25.56
2025-02-05 09:10:04,1.3232,25.56
2025-02-05 09:10:05,1.3037,25.81
2025-02-05 09:10:06,1.333,25.81
2025-02-05 09:10:07,1.3379,26.06
2025-02-05 09:10:08,1.3477,25.56
2025-02-05 09:10:09,1.3672,25.81
2025-02-05 09:10:10,1.416,26.31
2025-02-05 09:10:11,1.416,26.06
2025-02-05 09:10:12,1.3672,25.56
2025-02-05 09:10:13,1.3477,25.31
2025-02-05 09:10:14,1.3721,25.56
2025-02-05 09:10:15,1.3525,25.31
2025-02-05 09:10:16,1.3428,25.56
2025-02-05 09:10:17,1.3232,25.56
2025-02-05 09:10:18,1.3379,24.56
2025-02-05 09:10:19,1.3428,25.56
2025-02-05 09:10:20,1.333,25.56
2025-02-05 09:10:21,1.3379,25.31
2025-02-05 09:10:22,1.3135,26.06
2025-02-05 09:10:23,1.2891,25.56
2025-02-05 09:10:24,1.2793,25.81
2025-02-05 09:10:25,1.2695,25.81
2025-02-05 09:10:26,1.2939,25.81
2025-02-05 09:10:27,1.2891,25.81
2025-02-05 09:10:28,1.2793,26.06
2025-02-05 09:10:29,1.2891,26.06
2025-02-05 09:10:30,1.2793,26.06
2025-02-05 09:10:31,1.2842,26.06
2025-02-05 09:10:32,1.2744,25.56
2025-02-05 09:10:33,1.2842,26.06
2025-02-05 09:10:34,1.2793,26.06
2025-02-05 09:10:35,1.2793,26.56
2025-02-05 09:10:36,1.2939,26.31
2025-02-05 09:10:37,1.2842,26.31
2025-02-05 09:10:38,1.2842,26.06
2025-02-05 09:10:39,1.3281,26.06
2025-02-05 09:10:40,1.3428,25.81
2025-02-05 09:10:41,1.3477,26.31
2025-02-05 09:10:42,1.3135,25.81
2025-02-05 09:10:43,1.3281,25.81
2025-02-05 09:10:44,1.3428,26.06
2025-02-05 09:10:45,1.3184,25.81
2025-02-05 09:10:46,1.2891,25.81
2025-02-05 09:10:47,1.2939,26.06
2025-02-05 09:10:48,1.2939,26.31
2025-02-05 09:10:49,1.2842,26.06
2025-02-05 09:10:50,1.3232,26.06
2025-02-05 09:10:51,1.3037,26.06
2025-02-05 09:10:52,1.3135,26.06
2025-02-05 09:10:53,1.2988,26.31
2025-02-05 09:10:54,1.333,25.81
2025-02-05 09:10:55,1.3184,26.06
2025-02-05 09:10:56,1.377,26.31
2025-02-05 09:10:57,1.4014,26.31
2025-02-05 09:10:58,1.416,26.31
2025-02-05 09:10:59,1.3672,26.06
2025-02-05 09:11:00,1.3574,26.56
2025-02-05 09:11:01,1.3525,26.31
2025-02-05 09:11:02,1.3184,26.06
2025-02-05 09:11:03,1.3037,26.56
2025-02-05 09:11:04,1.2842,26.06
2025-02-05 09:11:05,1.2646,26.31
2025-02-05 09:11:06,1.2842,26.06
2025-02-05 09:11:07,1.3086,25.56
2025-02-05 09:11:08,1.2988,26.06
2025-02-05 09:11:09,1.3086,26.06
2025-02-05 09:11:10,1.2939,26.31
2025-02-05 09:11:11,1.2988,25.81
2025-02-05 09:11:12,1.2793,25.81
2025-02-05 09:11:13,1.3135,27.06
2025-02-05 09:11:14,1.3037,26.06
2025-02-05 09:11:15,1.3184,26.06
2025-02-05 09:11:16,1.3086,26.56
2025-02-05 09:11:17,1.3184,25.81
2025-02-05 09:11:18,1.3184,25.56
2025-02-05 09:11:19,1.3135,25.81
2025-02-05 09:11:20,1.4209,26.06
2025-02-05 09:11:21,1.3135,26.06
2025-02-05 09:11:22,1.3086,25.56
2025-02-05 09:11:23,1.3281,25.81
2025-02-05 09:11:24,1.3428,25.81
2025-02-05 09:11:25,1.333,25.06
2025-02-05 09:11:26,1.3428,25.81
2025-02-05 09:11:27,1.3086,25.81
2025-02-05 09:11:28,1.2598,25.56
2025-02-05 09:11:29,1.2793,24.56
2025-02-05 09:11:30,1.2793,25.81
2025-02-05 09:11:31,1.2451,25.56
2025-02-05 09:11:32,1.2402,25.56
2025-02-05 09:11:33,1.2646,25.31
2025-02-05 09:11:34,1.3379,25.81
2025-02-05 09:11:35,1.3037,25.56
2025-02-05 09:11:36,1.3135,26.06
2025-02-05 09:11:37,1.3037,25.81
2025-02-05 09:11:38,1.333,25.56
2025-02-05 09:11:40,1.3477,26.81
2025-02-05 09:11:41,1.377,25.81
2025-02-05 09:11:42,1.3428,26.06
2025-02-05 09:11:43,1.3037,24.81
2025-02-05 09:11:44,1.3428,26.06
2025-02-05 09:11:45,1.3574,25.06
2025-02-05 09:11:46,1.3477,25.81
2025-02-05 09:11:47,1.4062,25.81
2025-02-05 09:11:48,1.416,26.56
2025-02-05 09:11:49,1.4502,26.06
2025-02-05 09:11:50,1.4746,25.06
2025-02-05 09:11:51,1.4893,25.06
2025-02-05 09:11:52,1.4502,25.56
2025-02-05 09:11:53,1.4307,25.56
2025-02-05 09:11:54,1.4502,25.56
2025-02-05 09:11:55,1.4355,25.81
2025-02-05 09:11:56,1.4209,26.06
2025-02-05 09:11:57,1.4453,26.31
2025-02-05 09:11:58,1.416,26.31
