,ws,voltage,temp
2025-02-05 09:30:00,0.07,1.3086,25.81
2025-02-05 09:30:01,0.2015,1.4062,25.81
2025-02-05 09:30:02,0.2941,1.3965,26.06
2025-02-05 09:30:03,0.1476,1.4355,26.56
2025-02-05 09:30:04,0.1772,1.377,25.56
2025-02-05 09:30:05,0.2159,1.3525,26.56
2025-02-05 09:30:06,0.2249,1.377,26.06
2025-02-05 09:30:07,0.2302,1.4209,26.31
2025-02-05 09:30:08,0.2961,1.3672,26.31
2025-02-05 09:30:09,0.2704,1.3623,26.06
2025-02-05 09:30:10,0.2241,1.3721,25.31
2025-02-05 09:30:11,0.1539,1.3525,26.06
2025-02-05 09:30:12,0.2289,1.4893,26.06
2025-02-05 09:30:13,0.4697,1.4795,26.06
2025-02-05 09:30:14,0.6825,1.4307,26.06
2025-02-05 09:30:15,0.3796,1.4648,26.06
2025-02-05 09:30:16,0.3234,1.4893,26.06
2025-02-05 09:30:17,0.5792,1.5283,25.81
2025-02-05 09:30:18,0.4658,1.4453,25.81
2025-02-05 09:30:19,0.2811,1.4893,25.81
2025-02-05 09:30:20,0.3952,1.4404,25.56
2025-02-05 09:30:21,0.1825,1.377,25.81
2025-02-05 09:30:22,0.3336,1.46,25.56
2025-02-05 09:30:23,0.2931,1.3721,26.31
2025-02-05 09:30:24,0.2035,1.4258,25.81
2025-02-05 09:30:25,0.3876,1.4355,25.56
2025-02-05 09:30:26,0.4496,1.4307,25.56
2025-02-05 09:30:27,0.2557,1.4258,25.06
2025-02-05 09:30:28,0.1676,1.377,25.31
2025-02-05 09:30:29,0.21,1.3574,25.81
2025-02-05 09:30:30,0.1487,1.3867,25.56
2025-02-05 09:30:31,0.133,1.3281,25.56
2025-02-05 09:30:32,0.2184,1.4111,25.81
2025-02-05 09:30:33,0.5135,1.4355,26.06
2025-02-05 09:30:34,0.3976,1.4014,25.56
2025-02-05 09:30:35,0.2884,1.3818,25.56
2025-02-05 09:30:36,0.1962,1.3477,25.31
2025-02-05 09:30:37,0.2579,1.3232,25.31
2025-02-05 09:30:38,0.3419,1.3818,26.56
2025-02-05 09:30:39,0.247,1.3672,25.06
2025-02-05 09:30:40,0.1814,1.3281,25.81
2025-02-05 09:30:41,0.1539,1.3184,25.31
2025-02-05 09:30:42,0.1334,1.2598,25.56
2025-02-05 09:30:43,0.1253,1.2695,25.31
2025-02-05 09:30:44,0.1025,1.2793,25.56
2025-02-05 09:30:45,0.0245,1.25,25.06
2025-02-05 09:30:46,0.0927,1.2598,25.56
2025-02-05 09:30:47,0.1446,1.2451,25.81
2025-02-05 09:30:48,0.0825,1.2402,25.81
2025-02-05 09:30:49,0.051,1.2354,26.06
2025-02-05 09:30:50,0.07,1.2549,26.81
2025-02-05 09:30:51,0.1225,1.3037,25.81
2025-02-05 09:30:52,0.1732,1.2891,26.06
2025-02-05 09:30:53,0.1772,1.2939,25.31
2025-02-05 09:30:54,0.2276,1.3135,25.81
2025-02-05 09:30:55,0.2387,1.3281,26.06
2025-02-05 09:30:56,0.2629,1.333,26.06
2025-02-05 09:30:57,0.2818,1.3477,26.31
2025-02-05 09:30:58,0.2563,1.3525,26.06
