ts,voltage,temp
2025-02-06 16:15:00,1.1426,28.32
2025-02-06 16:15:02,1.1426,28.32
2025-02-06 16:15:04,1.1475,28.57
2025-02-06 16:15:06,1.1475,28.82
2025-02-06 16:15:08,1.1426,28.57
2025-02-06 16:15:10,1.1475,28.82
2025-02-06 16:15:12,1.1475,28.82
2025-02-06 16:15:14,1.1475,28.82
2025-02-06 16:15:16,1.1475,28.82
2025-02-06 16:15:18,1.1426,28.57
2025-02-06 16:15:20,1.1475,28.57
2025-02-06 16:15:22,1.1572,28.82
2025-02-06 16:15:24,1.1475,28.57
2025-02-06 16:15:26,1.1475,28.57
2025-02-06 16:15:28,1.1523,28.82
2025-02-06 16:15:30,1.1572,28.82
2025-02-06 16:15:32,1.1475,28.82
2025-02-06 16:15:34,1.1523,28.57
2025-02-06 16:15:36,1.1523,28.82
2025-02-06 16:15:38,1.1523,29.07
2025-02-06 16:15:40,1.1572,29.32
2025-02-06 16:15:42,1.1523,29.07
2025-02-06 16:15:44,1.1572,29.07
2025-02-06 16:15:46,1.1523,29.07
2025-02-06 16:15:48,1.1572,29.32
2025-02-06 16:15:50,1.1523,29.07
2025-02-06 16:15:52,1.1621,29.07
2025-02-06 16:15:54,1.1523,29.07
2025-02-06 16:15:56,1.1475,29.07
2025-02-06 16:15:58,1.1523,29.07
2025-02-06 16:16:00,1.1572,29.57
2025-02-06 16:16:02,1.1523,29.32
2025-02-06 16:16:04,1.1572,29.07
2025-02-06 16:16:06,1.1621,29.57
2025-02-06 16:16:08,1.1523,29.07
2025-02-06 16:16:10,1.1572,29.57
2025-02-06 16:16:12,1.1572,29.57
2025-02-06 16:16:14,1.1572,29.57
2025-02-06 16:16:16,1.1621,29.57
2025-02-06 16:16:18,1.1572,29.57
2025-02-06 16:16:20,1.1523,29.32
2025-02-06 16:16:22,1.1572,29.32
2025-02-06 16:16:24,1.1572,29.57
2025-02-06 16:16:26,1.1523,29.07
2025-02-06 16:16:28,1.1523,29.57
2025-02-06 16:16:30,1.1621,29.82
2025-02-06 16:16:32,1.1572,29.57
2025-02-06 16:16:34,1.1572,29.82
2025-02-06 16:16:36,1.1572,29.57
2025-02-06 16:16:38,1.1572,29.82
2025-02-06 16:16:40,1.1572,29.82
2025-02-06 16:16:42,1.167,29.82
2025-02-06 16:16:44,1.1523,29.32
2025-02-06 16:16:46,1.1572,29.82
2025-02-06 16:16:48,1.1523,29.32
2025-02-06 16:16:50,1.1572,29.82
2025-02-06 16:16:52,1.1572,29.57
2025-02-06 16:16:54,1.167,30.07
2025-02-06 16:16:56,1.1572,29.57
2025-02-06 16:16:58,1.1621,29.57
2025-02-06 16:17:00,1.1621,29.57
2025-02-06 16:17:02,1.1572,29.57
2025-02-06 16:17:04,1.1572,29.57
2025-02-06 16:17:06,1.1621,29.82
2025-02-06 16:17:08,1.1621,29.82
2025-02-06 16:17:10,1.1621,29.57
2025-02-06 16:17:12,1.1572,29.57
2025-02-06 16:17:14,1.1572,29.57
2025-02-06 16:17:16,1.1621,29.82
2025-02-06 16:17:18,1.1572,29.32
2025-02-06 16:17:20,1.1621,30.07
2025-02-06 16:17:22,1.1621,29.57
2025-02-06 16:17:24,1.167,29.57
2025-02-06 16:17:26,1.1621,29.82
2025-02-06 16:17:28,1.1572,29.82
2025-02-06 16:17:30,1.1572,29.57
2025-02-06 16:17:32,1.1572,30.07
2025-02-06 16:17:34,1.1572,29.57
2025-02-06 16:17:36,1.1621,29.82
2025-02-06 16:17:38,1.1572,30.07
2025-02-06 16:17:40,1.1621,29.57
2025-02-06 16:17:42,1.1621,30.07
2025-02-06 16:17:44,1.1572,29.82
2025-02-06 16:17:46,1.167,30.07
2025-02-06 16:17:48,1.1621,29.82
2025-02-06 16:17:50,1.1621,30.32
2025-02-06 16:17:52,1.1621,29.82
2025-02-06 16:17:54,1.167,30.07
2025-02-06 16:17:56,1.1621,30.07
2025-02-06 16:17:58,1.1572,30.07
2025-02-06 16:18:00,1.1621,30.32
2025-02-06 16:18:02,1.1621,29.82
2025-02-06 16:18:04,1.1621,30.07
2025-02-06 16:18:06,1.1572,29.82
2025-02-06 16:18:08,1.1621,30.32
2025-02-06 16:18:10,1.1621,30.07
2025-02-06 16:18:12,1.1621,30.07
2025-02-06 16:18:14,1.1572,30.32
2025-02-06 16:18:16,1.1572,30.32
2025-02-06 16:18:18,1.1572,30.32
2025-02-06 16:18:20,1.1572,30.07
2025-02-06 16:18:22,1.167,30.32
2025-02-06 16:18:24,1.1572,30.07
2025-02-06 16:18:26,1.1572,30.07
2025-02-06 16:18:28,1.1572,30.32
2025-02-06 16:18:30,1.1572,30.32
2025-02-06 16:18:32,1.1621,30.57
2025-02-06 16:18:34,1.1523,30.07
2025-02-06 16:18:36,1.1572,30.07
2025-02-06 16:18:38,1.1621,30.57
2025-02-06 16:18:40,1.167,30.32
2025-02-06 16:18:42,1.1572,30.07
2025-02-06 16:18:44,1.1523,30.07
2025-02-06 16:18:46,1.167,30.82
2025-02-06 16:18:48,1.1572,30.07
2025-02-06 16:18:50,1.1572,30.82
2025-02-06 16:18:52,1.167,31.07
2025-02-06 16:18:54,1.1523,30.57
2025-02-06 16:18:56,1.1572,30.07
2025-02-06 16:18:58,1.1523,30.07
2025-02-06 16:19:00,1.1621,30.32
2025-02-06 16:19:02,1.167,30.82
2025-02-06 16:19:04,1.1572,30.07
2025-02-06 16:19:06,1.167,30.57
2025-02-06 16:19:08,1.1572,30.57
